Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
688;JBB INDYK FASZEROWANY;MIĘSO I WĘDLINY;kg;31,95;39,99;5;-0,448
721;JBB PASZTET ZDZICHA;MIĘSO I WĘDLINY;kg;15,99;20,99;5;0,091
723;JBB PRZYSMAK W KONSERWIE WIELKI;MIĘSO I WĘDLINY;kg;16,29;22,99;5;0,44
725;JBB SALCESON WŁOSKI;MIĘSO I WĘDLINY;kg;19,99;27,5;5;3,392
729;JBB SCHABÓWKA Z PRZYPRAWAMI;MIĘSO I WĘDLINY;kg;29,99;37,99;5;0,406
730;JBB SERDELKI DROBIOWE;MIĘSO I WĘDLINY;kg;9,49;14,99;5;-0,897
717;JBB MORTADELA FIRMOWA;MIĘSO I WĘDLINY;kg;13,59;17,99;5;0,008
786;SER PERŁA Z WARMI;MIĘSO I WĘDLINY;kg;16,76;19,99;5;0,522
787;SER GOUDA;MIĘSO I WĘDLINY;kg;19,99;23,99;5;-0,343
790;JBB SZYNKA ZE SPIŻARNI;MIĘSO I WĘDLINY;kg;32,99;41,99;5;-0,144
772;JBB PIERŚ Z KURCZAKA Z WARZYWAMI;MIĘSO I WĘDLINY;kg;24,59;37,5;5;0,756
773;JBB WIEPRZOWINA Z OGÓRKIEM;MIĘSO I WĘDLINY;kg;21,69;29,99;5;4,511
683;METKA Z SZYNKI;MIĘSO I WĘDLINY;kg;18,99;24,99;5;-0,508
606;PASZTET ZE SZCZYPIORKIEM ROGOWO;MIĘSO I WĘDLINY;kg;18,62;23,99;5;0,027
608;JBB KIEŁBASA KRAKOWSKA PARZONA;MIĘSO I WĘDLINY;kg;22,49;27,99;5;-0,17
620;JBB PIERŚ GOTOWANA;MIĘSO I WĘDLINY;kg;33,29;44,99;5;0,56
626;JBB CIELASZKI;MIĘSO I WĘDLINY;kg;24,99;34,99;5;-0,067
637;ŁOPATKA B/K;MIĘSO I WĘDLINY;kg;19,99;24,99;5;1,206
588;PARÓWKI ROGOWO;MIĘSO I WĘDLINY;kg;18,72;25,99;5;0,536
590;SCHAB BIAŁY Z MAJERANKIEM;MIĘSO I WĘDLINY;kg;32,9;43,99;5;2,589
591;JBB PIECZEŃ RZYMSKA;MIĘSO I WĘDLINY;kg;19,99;26,99;5;1,73
668;JBB KIEŁBASA Z PIERSI KURCZAKA;MIĘSO I WĘDLINY;kg;30,69;39,99;5;0,229
677;SER DOBRODZIEJA;MIĘSO I WĘDLINY;kg;19,99;26,99;5;-0,422
5324;CLIPER;NABIAŁ;szt.;5,01;8,99;23;-3
641;JBB KIEŁBASA KROTOSZYŃSKA Z BECZKI;MIĘSO I WĘDLINY;kg;24,99;33,99;5;1,11
644;JBB SZYNKA SOŁTYSÓWKA;MIĘSO I WĘDLINY;kg;31,99;44,99;5;2,293
640;SZYNKA WOŁOWA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;50,2;63,99;5;0,265
116;PASZTET KREMOWY;ROGOWO;kg;16,07;21,5;5;0,006
111;KIEŁBASA TATRZAŃSKA CZERNIEJEWO;MRÓZ;kg;31,4;41,99;5;0,46
106;KIEŁBASA ŁOPATKOWA SMOL;MRÓZ;kg;24,13;30,99;5;-0,206
4121;PARÓWKI CIELASZKI JBB;CATERING;kg;25,99;33,99;5;0,005
3;PRZECENA;PRZECENY;kg;0,95;1;5;-1,19
121;KASZANKA NA GORĄCO;MORAWSCY;kg;12,18;16,5;5;0,3
4141;TWARÓG PÓŁTŁUSTY WAGA;MIĘSO I WĘDLINY;kg;15,79;21,5;5;-1,381
7;PRZECENA;OTWARTA CENA;szt.;0,95;1;5;-704
4073;SZYNKA ZAPIEKANA NA MAŚLE;MIĘSO I WĘDLINY;kg;33,22;42,99;5;0,224
