Kod;Nazwa;Nazwa;Nazwa;CenaEw;CenaDet;Stawka;Stan
13919;LUZ CUK ROKSANA MIESZANKA CYTRUSOWA LUZ;Luz Cukierki;kg;10.1300;18,98997;23;0
13920;LUZ CUK ROKSANA KULKI BALONOWE LUZ;Luz Cukierki;kg;10.6400;16,98999;23;0
13922;LUZ CUK ROKSANA EMO-TKI LUZ;Luz Cukierki;kg;9.7600;16,98999;23;0
13923;LUZ CUK. MILANO MIESZANKA FANTASTYCZNA LUZ;Luz Cukierki;kg;18.7500;32,989953;23;0
13924;LUZ CUK ŚNIEŻKA PASTY/MACZEK LUZ;Luz Cukierki;kg;15.9900;28,989993;23;0
13925;LUZUK MIESZANKA MIX LUZ;Luz Cukierki;kg;15.6602;10,99005;23;0
13926;LUZ CUK MAGNAT GALARETKA W CZEKOLADZIE LUZ;Luz Cukierki;kg;8.9900;14,99001;23;0
13928;LUZ CUK VOBRO WISNIE JEDNOSKRET LUZ;Luz Cukierki;kg;25.6600;41,989986;23;0
13929;LUZ CUK KRÓWKA POLSKA LUZ;Luz Cukierki;kg;11.3300;19,98996;23;0
13931;LUZ CUK ŻELKI DRUCELA CANDY LUZ;Luz Cukierki;kg;7.8900;13,99002;23;0
13932;LUZ CUK SOLIDAR ZŁOTY ADWOCAT LUZ;Luz Cukierki;kg;22.2900;36,990036;23;0
13933;LUZ CUK GIBAR TOFFIX LUZ;Luz Cukierki;kg;11.4900;19,98996;23;0
13934;LUZ CUK MIESZKO TUTTI FRUTTI KG;Luz Cukierki;kg;9.7900;15,99;23;0
13936;LUZ CUK SŁOWIANKA SMIGLE LUZ;Luz Cukierki;kg;14.7000;17,98998;23;0
13939;LUZ CUK SŁOWIANKA IGLO LODOWE KG;Luz Cukierki;kg;10.0900;16,98999;23;0
13941;LUZ CUK VOBRO MARCEPAN NADZIEWANY LUZ;Luz Cukierki;kg;13.1000;24,990033;23;0
13944;LUZ CUK KRÓWKA MILK LUZ;Luz Cukierki;kg;7.3100;10,99005;23;0
13948;LUZ CUK VOBRO WISNIE LIKIER LUZ;Luz Cukierki;kg;28.1600;44,989956;23;0
13950;LUZ CUK POLLY KRÓWKA LUZ;Luz Cukierki;kg;13.5200;25,990023;23;0
13952;LUZ CUK POLLY KRÓWKA LUZ;Luz Cukierki;kg;13.5200;25,990023;23;0
13955;LUZ CUK HIBBI JAJKO LUZ;Luz Cukierki;kg;18.5700;31,989963;23;0
13962;LUZ CUK DOBOSZ TOFFI CZEKOLADOWE LUZ;Luz Cukierki;kg;19.1000;18,98997;23;0
16109;SOLIDARNOŚĆ CUKIERKI ZŁOTY ORZECH LUZ;Luz Cukierki;kg;33.6100;48,990039;23;0
16110;STORCK CUKIERKI KOPIKO LUZ;Luz Cukierki;kg;33.8000;47,990049;23;0
17469;PSZCZÓŁKA CUKIERKI MIX LUZ;Luz Cukierki;kg;22.0300;34,990056;23;0
6310;GASSOWSCY JAJECZKA WIELKANOCNE KG;Luz Cukierki;kg;9.0000;14,99001;23;0
15671;CUKIERKI WIŚNIE W LIKIERZE VOBRO;Luz Cukierki;kg;21.0900;32,500044;23;0
